Gas Injection Rate (GRATES),Water Injection Rate (WRATES),oil_pro_vol,wat_inj_vol,wat_pro_vol,gas_inj_vol,gas_pro_vol,gas_retained,co2_injected,co2_backprod,co2_retained,prod_bhp,inj_bhp,ratio_oil_to_inj_vol
2871.011438979923,8160.471105078284,13420880.0,14892860.0,184604.1875,5239596.0,10908914.0,-5669318.0,5239578.0,3221434.0,2018144.0,2400.0,0.0,0.6666290491333994
1819.3963611911804,13929.770040899983,19033508.0,25263048.0,1889239.25,3320398.25,12405515.0,-9085116.75,3320402.25,1503126.375,1817275.875,2400.0,0.0,0.6658926930478161
2963.063556364282,10243.030874856213,16211784.0,18693532.0,216228.359375,5407591.0,12678015.0,-7270424.0,5407536.5,3391906.25,2015630.25,2400.0,0.0,0.6726567886483962
2489.5387575402356,5390.3315147522535,9718330.0,9837355.0,142861.515625,4543408.0,8016731.0,-3473323.0,4543386.0,2450071.5,2093314.5,2400.0,0.0,0.6757868132587957
2909.604619406354,12929.816823338568,19036844.0,23596916.0,737833.625,5310028.5,14014486.0,-8704457.5,5309994.5,3110189.0,2199805.5,2400.0,0.0,0.6585560781078056
2463.561543122372,5519.568951324896,9863743.0,10073213.0,144497.15625,4496000.0,8096964.5,-3600964.5,4495976.5,2447013.25,2048963.25,2400.0,0.0,0.677026480428284
4351.6719772370425,13269.435283639896,19364736.0,24216720.0,1117586.0,7941801.5,16206175.0,-8264373.5,7941772.5,5114061.0,2827711.5,2400.0,0.0,0.6021649969200232
4074.590026078037,5087.991107002795,9777381.0,9285584.0,143691.046875,7436127.0,10219705.0,-2783578.0,7436138.5,4619226.5,2816912.0,2400.0,0.0,0.5847117558723506
2255.9787088506487,11741.113273466744,17995508.0,21427532.0,255333.796875,4117161.25,12646667.0,-8529505.75,4117139.0,2338848.25,1778290.75,2400.0,0.0,0.7044714854816274
3290.501330575816,6657.139247461175,11549344.0,12149279.0,163368.890625,6005165.0,10337168.0,-4332003.0,6005146.0,3721708.75,2283437.25,2400.0,0.0,0.6361717274293831
2104.1961933227803,8428.752381260801,13583591.0,15382473.0,187192.953125,3840158.0,9924547.0,-6084389.0,3840172.0,2143867.25,1696304.75,2400.0,0.0,0.7066457760126592
2811.3717301856013,14527.513947953483,19338014.0,26134660.0,2701310.0,5130753.5,13729567.0,-8598813.5,5130744.0,2652752.75,2477991.25,2400.0,0.0,0.618511378395811
2411.9134637775787,9862.334731308532,15571215.0,17998760.0,209428.765625,4401742.0,11536660.0,-7134918.0,4401726.0,2617468.25,1784257.75,2400.0,0.0,0.6951279484718691
3629.597851119033,11574.263851618576,18066508.0,21123032.0,247047.8125,6624016.0,14706866.0,-8082850.0,6624010.5,4358370.0,2265640.5,2400.0,0.0,0.651114597848391
2481.4043319521406,12407.350962614844,18669734.0,22643416.0,396718.5625,4528563.0,13294451.0,-8765888.0,4528541.5,2600429.75,1928111.75,2400.0,0.0,0.6870951136831072
2836.371911565726,6099.27976537212,10741239.0,11131186.0,154341.96875,5176378.5,9139644.0,-3963265.5,5176374.0,2987062.75,2189311.25,2400.0,0.0,0.6586660442152474
3877.2964900361662,13387.95758110978,19318242.0,24430426.0,1297241.0,7076066.0,15427848.0,-8351782.0,7076056.5,4362359.5,2713697.0,2400.0,0.0,0.6131511562759827
2651.9673164553383,14139.199387225517,19257562.0,25612262.0,2203338.75,4839840.5,13538617.0,-8698776.5,4839816.0,2507887.0,2331929.0,2400.0,0.0,0.6323885846634071
4625.693076657355,6554.206523494089,11721061.0,11961427.0,165475.71875,8441890.0,12385526.0,-3943636.0,8441895.0,5671702.0,2770193.0,2400.0,0.0,0.5744684062890363
1721.8064768107265,10462.384288947735,16186194.0,19093852.0,217875.515625,3142296.75,10919390.0,-7777093.25,3142322.5,1647944.0,1494378.5,2400.0,0.0,0.7279225454902571
3964.475491653057,7835.051231872592,13239954.0,14298968.0,182165.03125,7235168.0,12384150.0,-5148982.0,7235168.0,4800305.0,2434863.0,2400.0,0.0,0.6148356265605456
2689.4961745725614,12406.467308597892,18711742.0,22641802.0,407714.3125,4908330.5,13597200.0,-8688869.5,4908307.0,2879117.0,2029190.0,2400.0,0.0,0.6791888205982313
2705.8142907397696,5282.703928574993,9643200.0,9640935.0,141921.34375,4938111.0,8259644.5,-3321533.5,4938093.5,2736022.25,2202071.25,2400.0,0.0,0.6614424565228754
3537.519474535355,10125.47003441387,16171048.0,18478982.0,215242.953125,6455973.0,13522251.0,-7066278.0,6455944.0,4259477.0,2196467.0,2400.0,0.0,0.648529263437612
3091.6248041133813,12928.148553566389,19062010.0,23593872.0,746364.1875,5642215.5,14277445.0,-8635229.5,5642174.0,3358731.25,2283442.75,2400.0,0.0,0.6520027688383406
2659.5439137577728,12347.369077925268,18656786.0,22533948.0,382020.65625,4853667.5,13534068.0,-8680400.5,4853628.0,2847464.0,2006164.0,2400.0,0.0,0.6812124991312223
1005.7075222510327,6081.83831433641,10023673.0,11099355.0,148068.65625,1835416.25,6442375.0,-4606958.75,1835416.625,700815.375,1134601.25,2400.0,0.0,0.7749401057247147
1369.0493833870082,13329.401087337757,18803546.0,24326156.0,1137469.375,2498515.0,11811507.0,-9312992.0,2498523.75,1040835.3125,1457688.4375,2400.0,0.0,0.700979557214327
3837.577574900851,7378.407301170733,12616384.0,13465593.0,175256.1875,7003579.0,11800988.0,-4797409.0,7003565.5,4574322.5,2429243.0,2400.0,0.0,0.6163602514063588
3097.382387060789,13077.876312168311,19119610.0,23867124.0,886749.3125,5652723.0,14292692.0,-8639969.0,5652700.0,3340984.75,2311715.25,2400.0,0.0,0.6476866224950285
3784.6418540678756,9971.288318624458,16024628.0,18197602.0,213417.515625,6906971.5,13793275.0,-6886303.5,6906956.5,4614369.5,2292587.0,2400.0,0.0,0.6383150862929418
4821.873292011704,6608.257651372941,11820645.0,12060070.0,166702.390625,8799919.0,12751333.0,-3951414.0,8799915.0,5980468.5,2819446.5,2400.0,0.0,0.5666659268132883
3731.65541750167,12340.406775670079,18843526.0,22521242.0,391696.9375,6810271.0,15215013.0,-8404742.0,6810262.0,4421443.5,2388818.5,2400.0,0.0,0.642432799153593
